Year,Division,Team,Wins,Losses,Ties,WP,GB,Payroll,Games_Played,WP_Calculated,WP_Diff
2008,East,Baltimore Orioles,68.0,93.0,0.0,0.422,,67196248.0,161.0,0.422360248447205,0.0003602484472050027
2008,West,Los Angeles Angels,100.0,62.0,0.0,0.617,,119216333.0,162.0,0.6172839506172839,0.00028395061728392346
2008,West,Texas Rangers,79.0,83.0,0.0,0.488,21.0,68239551.0,162.0,0.4876543209876543,0.00034567901234566767
2008,West,Oakland Athletics,75.0,86.0,0.0,0.466,,47967126.0,161.0,0.4658385093167702,0.00016149068322984794
2008,West,Seattle Mariners,61.0,101.0,0.0,0.377,39.0,117993982.0,162.0,0.3765432098765432,0.00045679012345678505
2009,Central,Minnesota Twins,87.0,76.0,0.0,0.534,,65299266.0,163.0,0.5337423312883436,0.00025766871165644467
2009,Central,Detroit Tigers,86.0,77.0,0.0,0.528,1.0,115085145.0,163.0,0.5276073619631901,0.0003926380368098892
2009,Central,Chicago White Sox,79.0,83.0,0.0,0.488,,96068500.0,162.0,0.4876543209876543,0.00034567901234566767
2009,Central,Cleveland Indians,65.0,97.0,0.0,0.401,,81579166.0,162.0,0.4012345679012346,0.0002345679012345503
2009,Central,Kansas City Royals,65.0,97.0,0.0,0.401,,70519333.0,162.0,0.4012345679012346,0.0002345679012345503
2009,East,New York Yankees,103.0,59.0,0.0,0.636,,201449189.0,162.0,0.6358024691358025,0.00019753086419749266
2009,East,Boston Red Sox,95.0,67.0,0.0,0.586,8.0,121745999.0,162.0,0.5864197530864198,0.00041975308641983844
2009,East,Tampa Bay Rays,84.0,78.0,0.0,0.519,19.0,63313034.0,162.0,0.5185185185185185,0.00048148148148152714
2009,East,Toronto Blue Jays,75.0,87.0,0.0,0.463,28.0,80538300.0,162.0,0.46296296296296297,3.703703703705763e-05
2009,East,Baltimore Orioles,64.0,98.0,0.0,0.395,39.0,67101666.0,162.0,0.3950617283950617,6.17283950616887e-05
2009,West,Los Angeles Angels,97.0,65.0,0.0,0.599,,113709000.0,162.0,0.5987654320987654,0.0002345679012345503
2009,West,Texas Rangers,87.0,75.0,0.0,0.537,10.0,68178798.0,162.0,0.5370370370370371,3.703703703705763e-05
2009,West,Seattle Mariners,85.0,77.0,0.0,0.525,12.0,98904166.0,162.0,0.5246913580246914,0.00030864197530866555
2009,West,Oakland Athletics,75.0,87.0,0.0,0.463,22.0,62310000.0,162.0,0.46296296296296297,3.703703703705763e-05
2010,Central,Minnesota Twins,94.0,68.0,0.0,0.58,,97559167.0,162.0,0.5802469135802469,0.00024691358024697685
2010,Central,Chicago White Sox,88.0,74.0,0.0,0.543,6.0,108273197.0,162.0,0.5432098765432098,0.0002098765432098082
2010,Central,Detroit Tigers,81.0,81.0,0.0,0.5,13.0,122864929.0,162.0,0.5,0.0
2010,Central,Cleveland Indians,69.0,93.0,0.0,0.426,25.0,61203967.0,162.0,0.42592592592592593,7.407407407405975e-05
2010,Central,Kansas City Royals,67.0,95.0,0.0,0.414,27.0,72267710.0,162.0,0.41358024691358025,0.0004197530864197274
2010,East,Tampa Bay Rays,96.0,66.0,0.0,0.593,,71923471.0,162.0,0.5925925925925926,0.0004074074074074119
2010,East,New York Yankees,95.0,67.0,0.0,0.586,1.0,206333389.0,162.0,0.5864197530864198,0.00041975308641983844
2010,East,Boston Red Sox,89.0,73.0,0.0,0.549,7.0,162747333.0,162.0,0.5493827160493827,0.0003827160493826698
2010,East,Toronto Blue Jays,85.0,77.0,0.0,0.525,11.0,62689357.0,162.0,0.5246913580246914,0.00030864197530866555
2010,East,Baltimore Orioles,66.0,96.0,0.0,0.407,30.0,81612500.0,162.0,0.4074074074074074,0.0004074074074074119
2010,West,Texas Rangers,90.0,72.0,0.0,0.556,,55250545.0,162.0,0.5555555555555556,0.0004444444444444695
2010,West,Oakland Athletics,81.0,81.0,0.0,0.5,9.0,51654900.0,162.0,0.5,0.0
2010,West,Los Angeles Angels,80.0,82.0,0.0,0.494,10.0,105013667.0,162.0,0.49382716049382713,0.0001728395061728616
2010,West,Seattle Mariners,61.0,101.0,0.0,0.377,29.0,98376667.0,162.0,0.3765432098765432,0.00045679012345678505
2011,Central,Detroit Tigers,95.0,67.0,0.0,0.586,,105700231.0,162.0,0.5864197530864198,0.00041975308641983844
2011,Central,Cleveland Indians,80.0,82.0,0.0,0.494,15.0,49190566.0,162.0,0.49382716049382713,0.0001728395061728616
2011,Central,Chicago White Sox,79.0,83.0,0.0,0.488,16.0,127789000.0,162.0,0.4876543209876543,0.00034567901234566767
2011,Central,Kansas City Royals,71.0,91.0,0.0,0.438,24.0,36126000.0,162.0,0.4382716049382716,0.0002716049382716079
2011,Central,Minnesota Twins,63.0,99.0,0.0,0.389,32.0,112737000.0,162.0,0.3888888888888889,0.00011111111111111738
2011,East,New York Yankees,97.0,65.0,0.0,0.599,,202689028.0,162.0,0.5987654320987654,0.0002345679012345503
2011,East,Tampa Bay Rays,91.0,71.0,0.0,0.562,6.0,41053571.0,162.0,0.5617283950617284,0.0002716049382716079
2011,East,Boston Red Sox,90.0,72.0,0.0,0.556,7.0,161762475.0,162.0,0.5555555555555556,0.0004444444444444695
2011,East,Toronto Blue Jays,81.0,81.0,0.0,0.5,16.0,62567800.0,162.0,0.5,0.0
2011,East,Baltimore Orioles,69.0,93.0,0.0,0.426,28.0,85304038.0,162.0,0.42592592592592593,7.407407407405975e-05
2011,West,Texas Rangers,96.0,66.0,0.0,0.593,,92299264.0,162.0,0.5925925925925926,0.0004074074074074119
2011,West,Los Angeles Angels,86.0,76.0,0.0,0.531,10.0,138543166.0,162.0,0.5308641975308642,0.00013580246913580396
2011,West,Oakland Athletics,74.0,88.0,0.0,0.457,22.0,66536500.0,162.0,0.4567901234567901,0.00020987654320991922
2011,West,Seattle Mariners,67.0,95.0,0.0,0.414,29.0,86524600.0,162.0,0.41358024691358025,0.0004197530864197274
2012,Central,Detroit Tigers,88.0,74.0,0.0,0.543,,132300000.0,162.0,0.5432098765432098,0.0002098765432098082
2012,Central,Chicago White Sox,85.0,77.0,0.0,0.525,3.0,96919500.0,162.0,0.5246913580246914,0.00030864197530866555
2012,Central,Kansas City Royals,72.0,90.0,0.0,0.444,16.0,60916225.0,162.0,0.4444444444444444,0.000444444444444414
2012,Central,Cleveland Indians,68.0,94.0,0.0,0.42,20.0,78430300.0,162.0,0.41975308641975306,0.00024691358024692134
2012,Central,Minnesota Twins,66.0,96.0,0.0,0.407,22.0,94085000.0,162.0,0.4074074074074074,0.0004074074074074119
2012,East,New York Yankees,95.0,67.0,0.0,0.586,,197962289.0,162.0,0.5864197530864198,0.00041975308641983844
2012,East,Baltimore Orioles,93.0,69.0,0.0,0.574,2.0,81428999.0,162.0,0.5740740740740741,7.407407407411526e-05
2012,East,Tampa Bay Rays,90.0,72.0,0.0,0.556,5.0,64173500.0,162.0,0.5555555555555556,0.0004444444444444695
2012,East,Toronto Blue Jays,73.0,89.0,0.0,0.451,22.0,75489200.0,162.0,0.4506172839506173,0.0003827160493827253
2012,East,Boston Red Sox,69.0,93.0,0.0,0.426,26.0,173186617.0,162.0,0.42592592592592593,7.407407407405975e-05
2012,West,Oakland Athletics,94.0,68.0,0.0,0.58,,55372500.0,162.0,0.5802469135802469,0.00024691358024697685
2012,West,Texas Rangers,93.0,69.0,0.0,0.574,1.0,120510974.0,162.0,0.5740740740740741,7.407407407411526e-05
2012,West,Los Angeles Angels,89.0,73.0,0.0,0.549,5.0,154485166.0,162.0,0.5493827160493827,0.0003827160493826698
2012,West,Seattle Mariners,75.0,87.0,0.0,0.463,19.0,81978100.0,162.0,0.46296296296296297,3.703703703705763e-05
2013,Central,Detroit Tigers,93.0,69.0,0.0,0.574,,,162.0,0.5740740740740741,7.407407407411526e-05
2013,Central,Cleveland Indians,92.0,70.0,0.0,0.568,1.0,,162.0,0.5679012345679012,9.876543209874633e-05
2013,Central,Kansas City Royals,86.0,76.0,0.0,0.531,7.0,,162.0,0.5308641975308642,0.00013580246913580396
2013,Central,Minnesota Twins,66.0,96.0,0.0,0.407,27.0,,162.0,0.4074074074074074,0.0004074074074074119
2013,Central,Chicago White Sox,63.0,99.0,0.0,0.389,30.0,,162.0,0.3888888888888889,0.00011111111111111738
2013,East,Boston Red Sox,97.0,65.0,0.0,0.599,,,162.0,0.5987654320987654,0.0002345679012345503
2013,East,Tampa Bay Rays,92.0,71.0,0.0,0.564,,,163.0,0.5644171779141104,0.0004171779141104448
2013,East,Baltimore Orioles,85.0,77.0,0.0,0.525,12.0,,162.0,0.5246913580246914,0.00030864197530866555
2013,East,New York Yankees,85.0,77.0,0.0,0.525,12.0,,162.0,0.5246913580246914,0.00030864197530866555
2013,East,Toronto Blue Jays,74.0,88.0,0.0,0.457,23.0,,162.0,0.4567901234567901,0.00020987654320991922
2013,West,Oakland Athletics,96.0,66.0,0.0,0.593,,,162.0,0.5925925925925926,0.0004074074074074119
2013,West,Texas Rangers,91.0,72.0,0.0,0.558,,,163.0,0.558282208588957,0.0002822085889570003
2013,West,Los Angeles Angels,78.0,84.0,0.0,0.481,18.0,,162.0,0.48148148148148145,0.00048148148148147163
2013,West,Seattle Mariners,71.0,91.0,0.0,0.438,25.0,,162.0,0.4382716049382716,0.0002716049382716079
2013,West,Houston Astros,51.0,111.0,0.0,0.315,45.0,,162.0,0.3148148148148148,0.00018518518518517713
2014,Central,Detroit Tigers,90.0,72.0,0.0,0.556,,162228527.0,162.0,0.5555555555555556,0.0004444444444444695
2014,Central,Kansas City Royals,89.0,73.0,0.0,0.549,1.0,92034345.0,162.0,0.5493827160493827,0.0003827160493826698
2014,Central,Cleveland Indians,85.0,77.0,0.0,0.525,5.0,82534800.0,162.0,0.5246913580246914,0.00030864197530866555
2014,Central,Chicago White Sox,73.0,89.0,0.0,0.451,17.0,91159254.0,162.0,0.4506172839506173,0.0003827160493827253
2014,Central,Minnesota Twins,70.0,92.0,0.0,0.432,20.0,85776500.0,162.0,0.43209876543209874,9.876543209874633e-05
2014,East,Baltimore Orioles,96.0,66.0,0.0,0.593,,107406623.0,162.0,0.5925925925925926,0.0004074074074074119
2014,East,New York Yankees,84.0,78.0,0.0,0.518,12.0,203812506.0,162.0,0.5185185185185185,0.0005185185185184737
2014,East,Toronto Blue Jays,83.0,79.0,0.0,0.512,13.0,132628700.0,162.0,0.5123456790123457,0.0003456790123457232
2014,East,Tampa Bay Rays,77.0,85.0,0.0,0.475,19.0,77062891.0,162.0,0.47530864197530864,0.00030864197530866555
2014,East,Boston Red Sox,71.0,91.0,0.0,0.438,25.0,162817411.0,162.0,0.4382716049382716,0.0002716049382716079
2014,West,Los Angeles Angels,98.0,64.0,0.0,0.605,,155692000.0,162.0,0.6049382716049383,6.17283950616887e-05
2014,West,Oakland Athletics,88.0,74.0,0.0,0.543,10.0,83401400.0,162.0,0.5432098765432098,0.0002098765432098082
2014,West,Seattle Mariners,87.0,75.0,0.0,0.537,11.0,92081943.0,162.0,0.5370370370370371,3.703703703705763e-05
2014,West,Houston Astros,70.0,92.0,0.0,0.432,28.0,44544174.0,162.0,0.43209876543209874,9.876543209874633e-05
2014,West,Texas Rangers,67.0,95.0,0.0,0.414,31.0,136036172.0,162.0,0.41358024691358025,0.0004197530864197274
2016,Central,Cleveland Indians,94.0,67.0,0.0,0.584,,,161.0,0.5838509316770186,0.00014906832298133832
2016,Central,Detroit Tigers,86.0,75.0,0.0,0.534,8.0,,161.0,0.5341614906832298,0.00016149068322979243
2016,Central,Kansas City Royals,81.0,81.0,0.0,0.5,13.5,,162.0,0.5,0.0
2016,Central,Chicago White Sox,78.0,84.0,0.0,0.481,16.5,,162.0,0.48148148148148145,0.00048148148148147163
2016,Central,Minnesota Twins,59.0,103.0,0.0,0.364,35.5,,162.0,0.36419753086419754,0.00019753086419754817
2016,East,Boston Red Sox,93.0,69.0,0.0,0.574,,,162.0,0.5740740740740741,7.407407407411526e-05
2016,East,Baltimore Orioles,89.0,73.0,0.0,0.549,4.0,,162.0,0.5493827160493827,0.0003827160493826698
2016,East,Toronto Blue Jays,89.0,73.0,0.0,0.549,4.0,,162.0,0.5493827160493827,0.0003827160493826698
2016,East,New York Yankees,84.0,78.0,0.0,0.519,9.0,,162.0,0.5185185185185185,0.00048148148148152714
2016,East,Tampa Bay Rays,68.0,94.0,0.0,0.42,25.0,,162.0,0.41975308641975306,0.00024691358024692134
2016,West,Texas Rangers,95.0,67.0,0.0,0.586,,,162.0,0.5864197530864198,0.00041975308641983844
2016,West,Seattle Mariners,86.0,76.0,0.0,0.531,9.0,,162.0,0.5308641975308642,0.00013580246913580396
2016,West,Houston Astros,84.0,78.0,0.0,0.519,11.0,,162.0,0.5185185185185185,0.00048148148148152714
2016,West,Los Angeles Angels,74.0,88.0,0.0,0.457,21.0,,162.0,0.4567901234567901,0.00020987654320991922
2016,West,Oakland Athletics,69.0,93.0,0.0,0.426,26.0,,162.0,0.42592592592592593,7.407407407405975e-05
2018,Central,Cleveland Indians,91.0,71.0,0.0,0.562,,136652167.0,162.0,0.5617283950617284,0.0002716049382716079
2018,Central,Minnesota Twins,78.0,84.0,0.0,0.481,13.0,129560000.0,162.0,0.48148148148148145,0.00048148148148147163
2018,Central,Detroit Tigers,64.0,98.0,0.0,0.395,27.0,111286000.0,162.0,0.3950617283950617,6.17283950616887e-05
2018,Central,Chicago White Sox,62.0,100.0,0.0,0.383,29.0,86050333.0,162.0,0.38271604938271603,0.00028395061728397897
2018,Central,Kansas City Royals,58.0,104.0,0.0,0.358,33.0,115483116.0,162.0,0.35802469135802467,2.4691358024686583e-05
2018,East,Boston Red Sox,108.0,54.0,0.0,0.667,,206247686.0,162.0,0.6666666666666666,0.00033333333333340764
2018,East,New York Yankees,100.0,62.0,0.0,0.617,8.0,161305917.0,162.0,0.6172839506172839,0.00028395061728392346
2018,East,Tampa Bay Rays,90.0,72.0,0.0,0.556,18.0,69605999.0,162.0,0.5555555555555556,0.0004444444444444695
2018,East,Toronto Blue Jays,73.0,89.0,0.0,0.451,35.0,164122200.0,162.0,0.4506172839506173,0.0003827160493827253
2018,East,Baltimore Orioles,47.0,115.0,0.0,0.29,61.0,148160873.0,162.0,0.29012345679012347,0.00012345679012348842
2018,West,Houston Astros,103.0,59.0,0.0,0.636,,172038900.0,162.0,0.6358024691358025,0.00019753086419749266
2018,West,Oakland Athletics,97.0,65.0,0.0,0.599,6.0,62652500.0,162.0,0.5987654320987654,0.0002345679012345503
2018,West,Seattle Mariners,89.0,73.0,0.0,0.549,14.0,165303943.0,162.0,0.5493827160493827,0.0003827160493826698
2018,West,Los Angeles Angels,80.0,82.0,0.0,0.494,23.0,171248332.0,162.0,0.49382716049382713,0.0001728395061728616
2018,West,Texas Rangers,67.0,95.0,0.0,0.414,36.0,128821249.0,162.0,0.41358024691358025,0.0004197530864197274
2019,Central,Minnesota Twins,101.0,61.0,0.0,0.623,,121276933.0,162.0,0.6234567901234568,0.00045679012345678505
2019,Central,Cleveland Indians,93.0,69.0,0.0,0.574,8.0,119241701.0,162.0,0.5740740740740741,7.407407407411526e-05
2019,Central,Chicago White Sox,72.0,89.0,0.0,0.447,28.5,89354534.0,161.0,0.4472049689440994,0.00020496894409938182
2019,Central,Kansas City Royals,59.0,103.0,0.0,0.364,42.0,100658316.0,162.0,0.36419753086419754,0.00019753086419754817
2019,Central,Detroit Tigers,47.0,114.0,0.0,0.292,53.5,116478400.0,161.0,0.2919254658385093,7.453416149066916e-05
2019,East,New York Yankees,103.0,59.0,0.0,0.636,,208084848.0,162.0,0.6358024691358025,0.00019753086419749266
2019,East,Tampa Bay Rays,96.0,66.0,0.0,0.593,7.0,60444931.0,162.0,0.5925925925925926,0.0004074074074074119
2019,East,Boston Red Sox,84.0,78.0,0.0,0.519,19.0,222171123.0,162.0,0.5185185185185185,0.00048148148148152714
2019,East,Toronto Blue Jays,67.0,95.0,0.0,0.414,36.0,112037006.0,162.0,0.41358024691358025,0.0004197530864197274
2019,East,Baltimore Orioles,54.0,108.0,0.0,0.333,49.0,72722906.0,162.0,0.3333333333333333,0.0003333333333332966
2019,West,Houston Astros,107.0,55.0,0.0,0.66,,160774666.0,162.0,0.6604938271604939,0.0004938271604938427
2019,West,Oakland Athletics,97.0,65.0,0.0,0.599,10.0,92318333.0,162.0,0.5987654320987654,0.0002345679012345503
2019,West,Texas Rangers,78.0,84.0,0.0,0.481,29.0,127660652.0,162.0,0.48148148148148145,0.00048148148148147163
2019,West,Los Angeles Angels,72.0,90.0,0.0,0.444,35.0,159378583.0,162.0,0.4444444444444444,0.000444444444444414
2019,West,Seattle Mariners,68.0,94.0,0.0,0.42,39.0,150906143.0,162.0,0.41975308641975306,0.00024691358024692134
